Model,Feature_Selection,Best_Params,Best_CV_Score,Test_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1
SVM,ANOVA,"{'model__C': 1, 'model__kernel': 'linear', 'selector__k': 400}",0.9385282814689437,0.9579233118425518,0.9600253499509351,0.9569447989625669,0.9579064951960019,0.9578743224379667
Logistic Regression,ANOVA,"{'model__C': 1, 'selector__k': 400}",0.9307741968303297,0.9575839837122497,0.9597583299557684,0.9567492201061892,0.9576523222780583,0.9574749456362124
SVM,Mutual Information,"{'model__C': 10, 'model__kernel': 'linear', 'selector__k': 400}",0.9247927043012989,0.9548693586698337,0.9581384201035364,0.9532747725307948,0.9545654724261657,0.9547896422335586
Logistic Regression,Mutual Information,"{'model__C': 10, 'selector__k': 400}",0.9213904188459884,0.9545300305395318,0.9575201817490971,0.9535098373938453,0.9545542538047651,0.95442648400485
